                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2279,                 1.0629,                 1.2563,                0.25239,                0.09722,                0.06053,                0.03185,                 2.2988,                 4.0042,                 2.1527,             0.00057778,             0.00057778,             0.00057778
                     35,                  1.235,                 1.1012,                 1.2567,                 0.2799,                0.15278,                0.11421,                  0.053,                 2.3843,                 3.5694,                 2.1839,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1673,                  1.051,                 1.2197,                0.14354,                0.16667,                0.07835,                0.02395,                 2.4035,                  3.755,                 2.1688,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.2271,                 1.0392,                  1.237,                0.30346,                0.15278,                 0.1307,                0.03983,                 2.2848,                 3.4868,                 2.0951,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.1654,                 1.0086,                 1.2119,                 0.1505,                0.19444,                 0.1132,                0.03784,                 2.2915,                 3.7078,                  2.121,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.1719,                 0.9956,                 1.2222,                0.31002,                0.17241,                0.12892,                0.03578,                 2.4337,                 3.7117,                 2.2287,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1363,                0.99191,                 1.1952,                0.31627,                0.11111,                0.13041,                 0.0438,                 2.3683,                 3.8208,                 2.2271,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0448,                0.91515,                 1.1758,                0.37785,                0.11111,                0.08537,                0.03073,                 2.4199,                 4.1971,                 2.3177,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.0341,                0.87324,                 1.1558,                0.13687,                0.15278,                0.08322,                0.02338,                 2.5773,                 4.1318,                 2.4097,             0.00031373,             0.00031373,             0.00031373
                     43,                  1.004,                0.84125,                 1.1047,                0.11658,                0.15278,                0.07588,                0.02041,                 2.4996,                 4.0632,                 2.4009,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.0535,                0.88626,                  1.174,                0.14385,                0.15278,                0.08561,                0.03759,                 2.5195,                 3.8735,                  2.286,             0.00024772,             0.00024772,             0.00024772
                     45,                0.93831,                0.77853,                 1.1284,                0.24515,                0.14992,                0.08175,                0.03883,                 2.4546,                  4.156,                 2.2606,             0.00021471,             0.00021471,             0.00021471
                     46,                0.92306,                0.75319,                 1.1131,                0.08806,                0.09722,                0.05907,                0.03078,                 2.4758,                  4.235,                 2.2785,              0.0001817,              0.0001817,              0.0001817
                     47,                0.86792,                0.70555,                 1.0829,                0.25842,                0.08333,                0.08294,                0.03496,                 2.4507,                 3.9628,                 2.2795,              0.0001487,              0.0001487,              0.0001487
                     48,                0.85142,                0.70028,                  1.054,                0.16747,                0.08333,                0.08328,                0.04145,                 2.4788,                 3.8735,                 2.2507,             0.00011569,             0.00011569,             0.00011569
                     49,                0.84621,                0.69399,                 1.0753,                0.16392,                0.13889,                 0.0928,                0.04193,                 2.5007,                 4.0022,                 2.2692,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.80876,                0.65589,                 1.0435,                0.25061,                0.16667,                0.09809,                0.04376,                 2.4466,                 4.0214,                 2.2327,             4.9677e-05,             4.9677e-05,             4.9677e-05
